t,pkt_rate,byte_rate,dport_entropy,label,mu_rolling_pkt_rate,sigma_rolling_pkt_rate,z_score_pkt_rate,fire_pkt_rate
3300.0,44806236.65254478,2672830718.219397,4.09249721174113,0,35750530.25981071,15730085.51902527,0.5756933986011297,0
3360.0,27144457.950081628,935468015.8190031,4.22388818121256,0,37338676.18916547,16157534.216841264,-0.6309266068864793,0
3420.0,15949475.617935412,1359114626.664744,2.2281498441615155,0,38820752.91690211,14753622.476794496,-1.550214351420487,0
3480.0,22611359.797801696,1305664030.9344993,4.127026696310262,0,33004731.011152565,16755668.023249613,-0.6202898743833651,0
3540.0,36992241.033294715,1612844814.9861927,2.624602542217079,0,25625379.53631653,10364174.841919592,1.0967454399749283,0
3600.0,34514995.21704645,508984580.0298755,3.237275249352238,0,29500754.21033164,10266773.656156361,0.4883950084657871,0
3660.0,36235739.992199436,1763790166.5141935,2.7214337042159977,0,27442505.92323197,7703714.643748349,1.1414278014702004,0
3720.0,22213394.97280951,435230661.26641893,3.7094662027257264,0,29260762.331655532,8455033.38284359,-0.8335114765065373,0
3780.0,33363683.41282382,1215269457.7368932,4.032472354590694,0,30513546.202630352,6664317.566019654,0.4276712779603848,0
3840.0,10412206.167419324,898172616.1992029,4.102398582153061,0,32664010.92563478,5378138.760196272,-4.1374545638170535,0
3900.0,41540725.16997231,1030131472.6888478,2.9237009554184055,0,27348003.9524597,9795217.925684802,1.4489438953978522,0
3960.0,13351889.832562216,211670740.89385968,2.5085573514514214,0,28753149.94304487,11134871.948571002,-1.3831555658311079,0
4020.0,16211152.364536716,1444300906.4381857,4.7651131526904935,0,24176379.911117427,11801715.181079894,-0.6749211808932901,0
4080.0,15020055.580449527,297993760.70177823,3.614499618131541,0,22975931.389462866,12237553.373217458,-0.6501198047009298,0
4140.0,5266465.171732371,1217666940.2319784,3.155068608309615,0,19307205.82298801,11286109.995838266,-1.2440726394154533,0
4200.0,29215675.995314144,1053170798.004617,1.9526480766277108,0,18278057.623850618,12244239.81531822,0.8932868464222632,0
4260.0,52655525.92003703,1080962607.9773438,2.8244787676056324,0,15813047.788918983,7716287.580462052,4.774637770681936,1
4320.0,36414613.224866435,522861188.5594038,3.370708042998058,0,23673775.006413948,16371079.405698374,0.7782527897346654,0
4380.0,38746509.75113793,717530672.2183304,2.985065931650674,0,27714467.1784799,16523095.716028225,0.667674070419891,0
4440.0,30486501.08288813,471025090.87926364,4.629605108805149,0,32459758.012617577,15575830.072308362,-0.1266871120555957,0
4500.0,31409170.984581187,1758265056.975055,2.4781150420954967,0,37503765.19484873,8369479.521639532,-0.7281927382114735,0
4560.0,25280038.801911056,2008525476.2511837,3.554958338916958,0,37942464.19270213,7971578.37909805,-1.588446451708071,0
4620.0,16761145.177518647,376135035.20660067,3.64609317493325,0,32467366.769076936,4726725.751819435,-3.3228544274041227,0
4680.0,23623059.427053124,685667055.2474806,3.280435748892193,0,28536673.159607373,7287833.182878597,-0.6742214879585701,0
4740.0,2897863.7060795403,96265097.82454456,3.0274306341546176,0,25511983.094790414,5286239.6701872945,-4.277921698527461,0
4800.0,28795239.419919766,418357004.56946456,2.8816571495593624,0,19994255.619428698,9738045.320334693,0.9037731403973976,0
4860.0,16569119.892330727,175682629.52605227,2.8426606549054805,0,19471469.306496415,9164476.294065328,-0.3166956104240428,0
4920.0,15421247.56729234,654742954.5605435,2.5148287474850064,0,17729285.52458035,8711443.733519917,-0.264943220422481,0
4980.0,45393355.96662297,959594138.5995984,2.7898725598990475,0,17461306.002535082,8757590.284672074,3.1894675425699934,1
5040.0,8672724.589570312,98295171.3915657,2.883817862984014,0,21815365.310449053,14359108.507275056,-0.9152824992039031,0
5100.0,48860335.61802977,2369976292.548354,2.9704953019025133,0,22970337.487147205,12954592.391430441,1.9985189304766542,0
5160.0,34423674.61428279,485322082.13881075,3.429138197775837,0,26983356.72676921,16702983.10927327,0.4454484470730749,0
5220.0,27287071.08723986,699854243.061296,3.465700406595161,0,30554267.671159618,15988078.060248416,-0.2043520535493928,0
5280.0,40571888.55156833,2038847769.3218493,2.5831807009887866,0,32927432.375149123,14363842.959289147,0.5322013195274813,0
5340.0,38022119.34557556,597090282.0396022,3.563376133422371,0,31963138.892138194,13638101.571945012,0.44426861183533933,0
5400.0,38584384.648315415,758259043.0024931,3.2747502766271657,0,37833017.84333925,7099007.3063007025,0.10584110884197738,0
5460.0,37957087.82423031,383022595.3305784,4.250751790183534,0,35777827.649396375,4686647.091040113,0.4649934446739605,0
5520.0,11105252.577916536,199656161.9244665,4.650683021925448,0,36484510.291385874,4695567.004408306,-5.404939954992168,0
