t,pkt_rate,byte_rate,dport_entropy,label,mu_rolling_byte_rate,sigma_rolling_byte_rate,z_score_byte_rate,fire_byte_rate
1980.0,35121008.31912366,2345664927.2073793,2.49578748713059,1,2181047862.729613,509811941.04299754,0.3228976240552253,0
2040.0,24599544.6601289,2960920219.4525256,2.807496537582677,1,2350994821.4188986,377582761.17470235,1.615342279229276,0
2100.0,29300520.736993566,1839043156.209638,2.94842640178031,1,2346973125.6513395,370898676.90736395,-1.3694574854699806,0
2160.0,7296717.436880074,354641954.830752,3.647475480215351,1,2226192332.32423,415613038.3407677,-4.50310795100457,0
2220.0,41946077.715350926,1815828819.1837578,3.460556606309817,1,1866769382.0076175,861963671.5330915,-0.05909827119889709,0
2280.0,57747854.61618238,2200838191.105039,3.3778916249306894,1,1863219815.3768106,862129577.469138,0.39160978181416634,0
2340.0,27979059.168769475,1279055275.620322,3.183448100090015,1,1834254468.1563423,847747010.2262493,-0.6549114132385404,0
2400.0,24993299.580638237,2207688416.780168,3.659177497579503,1,1497881479.3899014,642885908.5604908,1.1040947202896718,0
2460.0,38084111.203630626,2367323540.7720056,3.5217208469355685,1,1571610531.5040073,696672977.8220071,1.1421614367125559,0
2520.0,41365814.8885238,1908047240.266989,3.2963193828438655,1,1974146848.6922581,392105963.57814324,-0.16857588143286698,0
2580.0,150522299.03117773,3567408863.0134144,3.6743386437559367,1,1992590532.9089043,386351949.8324874,4.076123676319771,1
2640.0,45964844.47733202,2617482323.2412534,3.457822170859209,1,2265904667.2905793,749602794.9683468,0.46901860333314255,0
2700.0,56905478.8677036,1581822959.6007102,3.5605602979950195,1,2533590076.8147655,565858548.594071,-1.6819876974180394,0
2760.0,41715381.12399864,1118746237.9349911,3.203359235367545,1,2408416985.378874,681511074.6544774,-1.8923694645721483,0
2820.0,19705814.63232994,302522469.0060178,3.794462617036296,0,2158701524.811471,856978370.062437,-2.1659578825428434,0
2880.0,21812582.285282515,1354479179.7205908,3.0927054731645662,0,1837596570.559277,1143598775.130347,-0.4224535749293896,0
2940.0,29742439.163155586,2697369901.572275,3.4802231952813134,0,1395010633.9007123,748442527.1139791,1.7400925528557367,0
3000.0,36865507.005770974,1885111803.2233691,2.8158933477549932,0,1410988149.5669167,774758969.9745809,0.6119627807239302,0
3060.0,19734074.31139843,1329191563.6103709,3.1958601644236047,0,1471645918.2914486,797304106.3338926,-0.17867003762980888,0
3120.0,45029585.14668314,733966176.2430519,3.4150108453803423,0,1513734983.4265246,782990012.9167194,-0.9958860193870834,0
3180.0,59508117.171981886,1364645469.188537,2.289052865164166,0,1600023724.8739314,658656466.5591958,-0.35736118543708284,0
3240.0,17615367.663219154,808889801.9578569,5.716614967160039,0,1602056982.7675204,657910606.9380333,-1.2055850330505002,0
3300.0,44806236.65254478,2672830718.219397,4.09249721174113,0,1224360962.844637,419610343.7459274,3.451940060495276,1
3360.0,27144457.950081628,935468015.8190031,4.22388818121256,0,1381904745.8438423,695375717.7610664,-0.6420079370361856,0
3420.0,15949475.617935412,1359114626.664744,2.2281498441615155,0,1303160036.2855687,718785137.8785738,0.07784605917746137,0
3480.0,22611359.797801696,1305664030.9344993,4.127026696310262,0,1428189726.3699074,660945916.2498956,-0.18537930626850663,0
3540.0,36992241.033294715,1612844814.9861927,2.624602542217079,0,1416393438.7191,662499272.8217236,0.2965307047513653,0
3600.0,34514995.21704645,508984580.0298755,3.237275249352238,0,1577184441.3247669,589031437.9404523,-1.8134853124815389,0
3660.0,36235739.992199436,1763790166.5141935,2.7214337042159977,0,1144415213.6868625,384435776.7057607,1.6111272424610679,0
3720.0,22213394.97280951,435230661.26641893,3.7094662027257264,0,1310079643.8259006,433980924.8534719,-2.0158696672091363,0
3780.0,33363683.41282382,1215269457.7368932,4.032472354590694,0,1125302850.7462356,553884683.3272612,0.1624284073901734,0
3840.0,10412206.167419324,898172616.1992029,4.102398582153061,0,1107223936.1067142,549157684.3502234,-0.38067630821713055,0
3900.0,41540725.16997231,1030131472.6888478,2.9237009554184055,0,964289496.3493162,488624502.5081957,0.13474964108748758,0
3960.0,13351889.832562216,211670740.89385968,2.5085573514514214,0,1068518874.8811105,432777842.43995917,-1.9798798597368683,0
4020.0,16211152.364536716,1444300906.4381857,4.7651131526904935,0,758094989.7570438,375620797.6152625,1.8268581533230295,0
4080.0,15020055.580449527,297993760.70177823,3.614499618131541,0,959909038.7913971,416760735.0852365,-1.5882381001037515,0
4140.0,5266465.171732371,1217666940.2319784,3.155068608309615,0,776453899.3843741,463269144.7688094,0.9523903023323256,0
