t,pkt_rate,byte_rate,dport_entropy,label,mu_rolling_dport_entropy,sigma_rolling_dport_entropy,z_score_dport_entropy,fire_dport_entropy
1920.0,40695973.98940671,1833576652.3377943,2.4442590473221575,1,2.8911600851989747,0.2769339911201241,-1.6137457018880987,0
1980.0,35121008.31912366,2345664927.2073793,2.49578748713059,1,2.8725078581860566,0.30211984579641293,-1.2469236175544856,0
2040.0,24599544.6601289,2960920219.4525256,2.807496537582677,1,2.748378481453741,0.3038945835965096,0.19453474763942766,0
2100.0,29300520.736993566,1839043156.209638,2.94842640178031,1,2.7260481304709807,0.29448225176342807,0.755149996231272,0
2160.0,7296717.436880074,354641954.830752,3.647475480215351,1,2.663929199052416,0.1895769648223854,5.188110707882782,1
2220.0,41946077.715350926,1815828819.1837578,3.460556606309817,1,2.8686889908062163,0.4326216072958033,1.3680953644530138,0
2280.0,57747854.61618238,2200838191.105039,3.3778916249306894,1,3.0719485026037487,0.42412300743326425,0.7213546941922994,0
2340.0,27979059.168769475,1279055275.620322,3.183448100090015,1,3.2483693301637686,0.31793702632265414,-0.2041952484259224,0
2400.0,24993299.580638237,2207688416.780168,3.659177497579503,1,3.3235596426652365,0.23958205063825455,1.4008472421876739,0
2460.0,38084111.203630626,2367323540.7720056,3.5217208469355685,1,3.465709861825075,0.177695676382206,0.3152073604200678,0
2520.0,41365814.8885238,1908047240.266989,3.2963193828438655,1,3.4405589351691184,0.15799646318232796,-0.9129289948649065,0
2580.0,150522299.03117773,3567408863.0134144,3.6743386437559367,1,3.4077114904759283,0.16722725877092723,1.5944000711345874,0
2640.0,45964844.47733202,2617482323.2412534,3.457822170859209,1,3.467000894240978,0.19618839306706293,-0.046785251860598405,0
2700.0,56905478.8677036,1581822959.6007102,3.5605602979950195,1,3.521875708394817,0.13933790842493032,0.277631479024562,0
2760.0,41715381.12399864,1118746237.9349911,3.203359235367545,1,3.5021522684779205,0.12471961302826705,-2.395718090006066,0
2820.0,19705814.63232994,302522469.0060178,3.794462617036296,0,3.4384799461643163,0.1711130816728975,2.0803942480124458,0
2880.0,21812582.285282515,1354479179.7205908,3.0927054731645662,0,3.5381085930028022,0.2016348846014526,-2.2089586368877128,0
2940.0,29742439.163155586,2697369901.572275,3.4802231952813134,0,3.421781958884528,0.2511768368493451,0.2326696885343702,0
3000.0,36865507.005770974,1885111803.2233691,2.8158933477549932,0,3.426262163768949,0.2519782279886852,-2.422307756054875,0
3060.0,19734074.31139843,1329191563.6103709,3.1958601644236047,0,3.2773287737209444,0.3349846164382135,-0.24320104655422686,0
3120.0,45029585.14668314,733966176.2430519,3.4150108453803423,0,3.2758289595321557,0.3353290505562958,0.4150606266211952,0
3180.0,59508117.171981886,1364645469.188537,2.289052865164166,0,3.1999386052009653,0.2382527473018903,-3.8231909195263762,0
3240.0,17615367.663219154,808889801.9578569,5.716614967160039,0,3.0392080836008857,0.4411041241954899,6.069784290596593,1
3300.0,44806236.65254478,2672830718.219397,4.09249721174113,0,3.4864864379766303,1.1786931663368063,0.5141378528967692,0
3360.0,27144457.950081628,935468015.8190031,4.22388818121256,0,3.7418072107738576,1.1435207371973808,0.4215760630806047,0
3420.0,15949475.617935412,1359114626.664744,2.2281498441615155,0,3.947412814131649,1.1190329705582542,-1.5363827654804858,0
3480.0,22611359.797801696,1305664030.9344993,4.127026696310262,0,3.710040613887884,1.3154360069816828,0.31699457838254563,0
3540.0,36992241.033294715,1612844814.9861927,2.624602542217079,0,4.077635380117103,1.107330221066421,-1.3121946915714735,0
3600.0,34514995.21704645,508984580.0298755,3.237275249352238,0,3.459232895128511,0.8536794792551948,-0.2600011493422839,0
3660.0,36235739.992199436,1763790166.5141935,2.7214337042159977,0,3.2881885026507325,0.7931965515986996,-0.71451999796574,0
3720.0,22213394.97280951,435230661.26641893,3.7094662027257264,0,2.98769760725142,0.654218169930952,1.1032536677336304,0
3780.0,33363683.41282382,1215269457.7368932,4.032472354590694,0,3.2839608789642627,0.5736173880745059,1.3048967677549006,0
3840.0,10412206.167419324,898172616.1992029,4.102398582153061,0,3.2650500106203495,0.5464258214189102,1.5324103267271645,0
3900.0,41540725.16997231,1030131472.6888478,2.9237009554184055,0,3.5606092186075458,0.5190586353968646,-1.2270449227805826,0
3960.0,13351889.832562216,211670740.89385968,2.5085573514514214,0,3.497894359820779,0.5707102324965412,-1.7335189594228162,0
4020.0,16211152.364536716,1444300906.4381857,4.7651131526904935,0,3.4553190892678645,0.6317252797688263,2.0733602174380854,0
4080.0,15020055.580449527,297993760.70177823,3.614499618131541,0,3.6664484792608176,0.8274630846387332,-0.0627808806140969,0
4140.0,5266465.171732371,1217666940.2319784,3.155068608309615,0,3.5828539319689865,0.8071258572708181,-0.5300106790109128,0
4200.0,29215675.995314144,1053170798.004617,1.9526480766277108,0,3.3933879372002975,0.7734141931863892,-1.8628309038871946,0
4260.0,52655525.92003703,1080962607.9773438,2.8244787676056324,0,3.1991773614421586,0.9651304903914876,-0.388236199733506,0
4320.0,36414613.224866435,522861188.5594038,3.370708042998058,0,3.2623616446730006,0.9274552374323037,0.11682116176843067,0
4380.0,38746509.75113793,717530672.2183304,2.985065931650674,0,2.9834806227345134,0.5771429307194089,0.0027468220293099858,0
4440.0,30486501.08288813,471025090.87926364,4.629605108805149,0,2.85759388543834,0.4874525617768464,3.635248560203541,1
4500.0,31409170.984581187,1758265056.975055,2.4781150420954967,0,3.1525011855374467,0.872322301290746,-0.7730928607970742,0
4560.0,25280038.801911056,2008525476.2511837,3.554958338916958,0,3.2575945786310037,0.743593580901892,0.3999009242727553,0
4620.0,16761145.177518647,376135035.20660067,3.64609317493325,0,3.4036904928932685,0.7153702380086974,0.33884926875729837,0
4680.0,23623059.427053124,685667055.2474806,3.280435748892193,0,3.4587675192803067,0.7212872813552171,-0.24724097457125344,0
4740.0,2897863.7060795403,96265097.82454456,3.0274306341546176,0,3.5178414827286106,0.6915543466197676,-0.7091428908965158,0
4800.0,28795239.419919766,418357004.56946456,2.8816571495593624,0,3.197406587798505,0.4200783027796915,-0.751644243822648,0
4860.0,16569119.892330727,175682629.52605227,2.8426606549054805,0,3.278115009291278,0.2939649760976867,-1.481313727119291,0
4920.0,15421247.56729234,654742954.5605435,2.5148287474850064,0,3.1356554724889825,0.29785288426546086,-2.084340148442764,0
4980.0,45393355.96662297,959594138.5995984,2.7898725598990475,0,2.9094025869993336,0.2500036146806243,-0.47811319549512865,0
5040.0,8672724.589570312,98295171.3915657,2.883817862984014,0,2.811289949200704,0.16792879946111555,0.4318968158889505,0
5100.0,48860335.61802977,2369976292.548354,2.9704953019025133,0,2.7825673949665837,0.13814411707995722,1.3603757503995468,0
5160.0,34423674.61428279,485322082.13881075,3.429138197775837,0,2.8003350254352135,0.15449185136875562,4.070138112590399,1
5220.0,27287071.08723986,699854243.061296,3.465700406595161,0,2.917630534009285,0.2980434363223069,1.8388926102475485,0
5280.0,40571888.55156833,2038847769.3218493,2.5831807009887866,0,3.107804865831316,0.2833546799554958,-1.8514752074147074,0
5340.0,38022119.34557556,597090282.0396022,3.563376133422371,0,3.066466494049264,0.3367653876326309,1.4755365534036813,0
5400.0,38584384.648315415,758259043.0024931,3.2747502766271657,0,3.2023781481369356,0.3710130483485524,0.19506626198828267,0
5460.0,37957087.82423031,383022595.3305784,4.250751790183534,0,3.2632291430818663,0.3524790101268187,2.801649513105379,0
5520.0,11105252.577916536,199656161.9244665,4.650683021925448,0,3.427551861563405,0.5355133327870291,2.2840349352207,0
